pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
Books,exact,"Office, Print & Marketing",,,broad,
Library Materials,exact,"Office, Print & Marketing",,,broad,
Library materials,exact,"Office, Print & Marketing",,,broad,
Office supplies,exact,"Office, Print & Marketing",310,,broad,
COURT REPORTER,exact,Professional & Administrative Services,,,review,Legal services
Consultants or professional services,exact,Professional & Administrative Services,,,broad,
EXPERT,exact,Professional & Administrative Services,,,review,Expert witness; legal context
OUTSIDE COUNSEL,exact,Professional & Administrative Services,,,review,
Office rental,exact,Professional & Administrative Services,,,review,Real-estate lease — not in NIGP working set
SENIOR INSTRUCTOR,exact,Professional & Administrative Services,,,review,
SUBPOENA,exact,Professional & Administrative Services,,,review,
TRANSCRIPT,exact,Professional & Administrative Services,,,review,
Transcript,exact,Professional & Administrative Services,,,review,
Utility services,exact,Professional & Administrative Services,,,review,Electric/water/gas utility — no class in working set
BREAD,exact,"Public Safety, Uniforms & PPE",375,,broad,Police lockup bread (judgment call locked earlier)
BACP-,starts_with,Grants & Pass-Through Funding,,,broad,BACP = Business Affairs & Consumer Protection subgrants
CDPH-,starts_with,Grants & Pass-Through Funding,,,broad,"CDPH = Chicago Dept of Public Health subgrants (Ryan White, etc.)"
DCASE-,starts_with,Grants & Pass-Through Funding,,,broad,DCASE = Dept of Cultural Affairs & Special Events subgrants
DFSS-,starts_with,Grants & Pass-Through Funding,,,broad,DFSS = Family & Support Services subgrants to CBOs
DOH-,starts_with,Grants & Pass-Through Funding,,,broad,DOH = Dept of Housing subgrants
DPD-,starts_with,Grants & Pass-Through Funding,,,broad,DPD = Dept of Planning & Development subgrants
CANINE PRIMARY CARE VETERINARY,contains,Animal Care & Veterinary,875,,broad,
VETERINARY,contains,Animal Care & Veterinary,875,,broad,
ENVIRONMENTAL RESPONSE SERVICES,contains,Chemicals & Water Treatment,175,,broad,Hazmat response
HAZARDOUS MATERIAL HANDLING,contains,Chemicals & Water Treatment,175,,broad,
BRIDGE CONSTRUCTION,contains,Construction & Trades Services,913,,broad,
CONSTRUCTION MANAGEMENT,contains,Construction & Trades Services,,,broad,Construction-mgmt-at-risk; could be Pro Services
Residential Roadway Lighting Improvement,contains,Construction & Trades Services,,,broad,
TRADESMEN SERVICES,contains,Construction & Trades Services,914,,broad,
AGGREGATES,contains,Construction Materials,,,broad,
"ASPHALT PRIMERS, HOT MIX",contains,Construction Materials,745,,broad,
CLAY SEWER PIPE,contains,Construction Materials,658,,broad,
CONSTRUCTION MATERIALS AND SUPPLIES,contains,Construction Materials,,,broad,Generic — broad class only
HOT MIX ASPHALT,contains,Construction Materials,745,,broad,
"PIPES, FITTINGS, VALVES",contains,Construction Materials,670,,broad,Generic pipe/fittings — water-side default; could be sewer
READY MIX CONCRETE,contains,Construction Materials,750,75070,exact,
READY-MIX CONCRETE,contains,Construction Materials,750,75070,exact,
REINFORCED CONCRETE SEWER PIPE,contains,Construction Materials,658,,broad,
REPROCESSABLE MATERIALS FOR CONSTRUCTION,contains,Construction Materials,,,broad,
THERMOPLASTIC PAVEMENT MARKINGS,contains,Construction Materials,745,,broad,
